id	same_as_id	duplicate_count	category	subject_policy	jp_prefix	jp_suffix	jp_with_b	zh_prefix	zh_suffix
125		1	B_NI	auto	に抱きついたこと		{B}に抱きついたこと	紧紧抱住{B}的事情	
126		1	B_KARA	auto	から抱きつかれて	喜んでみせたこと	{B}から抱きつかれて / 喜んでみせたこと	被{B}抱住后表现出开心	的事情
127		1	B_KARA	auto	から抱きつかれて	たしなめたこと	{B}から抱きつかれて / たしなめたこと	被{B}抱住后加以责备	的事情
128		1	B_KARA	auto	から抱きつかれたが	無視したこと	{B}から抱きつかれたが / 無視したこと	被{B}抱住但无视了	的事情
134		1	B_NI_TAISHITE	auto	に対して、	上機嫌で話したこと	{B}に対して、 / 上機嫌で話したこと	对{B}心情愉快地说话	的事情
136		1	B_NI	auto	に、なれなれしく	接したこと	{B}に、なれなれしく / 接したこと	对{B}自来熟地接触	的事情
137		1	B_NO	auto	のなれなれしい態度に	そっけなく応対したこと	{B}のなれなれしい態度に / そっけなく応対したこと	对{B}自来熟的态度冷淡回应	的事情
139		1	B_NO	auto	のなれなれしい態度を	冷たくあしらったこと	{B}のなれなれしい態度を / 冷たくあしらったこと	冷淡对待{B}自来熟态度	的事情
141		1	B_NO	auto	の態度に	首をかしげたこと	{B}の態度に / 首をかしげたこと	对{B}的态度感到费解	的事情
143		3	B_WO	auto	を心配したこと		{B}を心配したこと	担心{B}的事情	
144		1	B_NO	auto	の様子を観察したこと		{B}の様子を観察したこと	观察{B}的样子的事情	
147		1	B_NI	auto	に、	我に返ってあやまったこと	{B}に、 / 我に返ってあやまったこと	回过神来向{B}道歉	的事情
148		1	B_WO	auto	を前にして	ぼーっとしていたこと	{B}を前にして / ぼーっとしていたこと	在{B}面前发呆	的事情
149		1	B_NI_TAISHITE	auto	に対して、	泣きそうな顔をしたこと	{B}に対して、 / 泣きそうな顔をしたこと	对{B}露出快要哭出来的表情	的事情
150		1	B_NI	auto	に、何でもない	と言ったこと	{B}に、何でもない / と言ったこと	对{B}说没什么	的事情
153		1	B_NI	auto	に、暗い調子で	話しかけたこと	{B}に、暗い調子で / 話しかけたこと	用低沉的语气向{B}搭话	的事情
155		1	B_NI	auto	に、そんな気分じゃない	と言ったこと	{B}に、そんな気分じゃない / と言ったこと	对{B}说没那个心情	的事情
157		1	B_NO	auto	の態度に	腹を立てたこと	{B}の態度に / 腹を立てたこと	对{B}的态度发火	的事情
160		1	B_NO	auto	の態度で	上機嫌になったこと	{B}の態度で / 上機嫌になったこと	因{B}的态度而变得心情愉快	的事情
164		1	B_NI	auto	に、	間をあけてうなずいたこと	{B}に、 / 間をあけてうなずいたこと	停顿片刻后对{B}点头	的事情
172		1	B_NO	auto	の泣きそうな顔を見ても	知らんぷりしたこと	{B}の泣きそうな顔を見ても / 知らんぷりしたこと	看到{B}快要哭出来的表情也装作没看见	的事情
173		1	B_NO	auto	の泣きそうな顔を見て	なぐさめの声をかけたこと	{B}の泣きそうな顔を見て / なぐさめの声をかけたこと	看到{B}快要哭出来的表情后出声安慰	的事情
175		1	B_NO	auto	の泣きそうな顔を見て	励ましたこと	{B}の泣きそうな顔を見て / 励ましたこと	看到{B}快要哭出来的表情后鼓励{B}	的事情
179		1	B_NI	auto	に、何も言わなくていい	と言ったこと	{B}に、何も言わなくていい / と言ったこと	对{B}说什么都不用说	的事情
182		1	B_NI_TAISHITE	auto	に対して、	黙っていたこと	{B}に対して、 / 黙っていたこと	对{B}沉默不语	的事情
183		2	B_NI	auto	に、やっぱり何でもない	と言ったこと	{B}に、やっぱり何でもない / と言ったこと	对{B}说果然还是没什么	的事情
184	143	3	B_WO	auto	を心配したこと		{B}を心配したこと	担心{B}的事情	
185		1	B_NO	auto	のことを、	変な奴だと思ったこと	{B}のことを、 / 変な奴だと思ったこと	觉得{B}是个怪人	的事情
186		1	B_NI	auto	に注意したこと		{B}に注意したこと	提醒{B}注意的事情	
187		1	B_NI	auto	に観察されているとき	ため息をついたこと	{B}に観察されているとき / ため息をついたこと	被{B}观察的时候叹了口气	的事情
188		1	B_WO	auto	を突き放したこと		{B}を突き放したこと	推开{B}的事情	
189		1	B_NI	auto	に、気にするな	と言ったこと	{B}に、気にするな / と言ったこと	对{B}说别在意	的事情
191	183	2	B_NI	auto	に、やっぱり何でもない	と言ったこと	{B}に、やっぱり何でもない / と言ったこと	对{B}说果然还是没什么	的事情
192		1	B_NO	auto	の返事に了解したこと		{B}の返事に了解したこと	对{B}的回复表示了解的事情	
193		1	B_NO	auto	の肩を叩いたこと		{B}の肩を叩いたこと	拍了拍{B}的肩膀的事情	
197		1	B_NI	auto	に、何かと尋ねたこと		{B}に、何かと尋ねたこと	向{B}询问有什么事的事情	
198		1	B_NI	auto	に、こんな話は	退屈そうだね、と言ったこと	{B}に、こんな話は / 退屈そうだね、と言ったこと	对{B}说这些话好像很无聊呢	的事情
199		1	B_KARA	auto	から、	それとなく離れたこと	{B}から、 / それとなく離れたこと	不着痕迹地从{B}身边离开	的事情
200		1	NO_B	auto	入浴したこと		入浴したこと	洗澡的事情	
209		1	B_NO	auto	の勉強を	邪魔したこと	{B}の勉強を / 邪魔したこと	打扰{B}学习	的事情
210		1	B_NI	auto	に勉強の邪魔をされたので	文句を言ったこと	{B}に勉強の邪魔をされたので / 文句を言ったこと	被{B}打扰了学习于是抱怨	的事情
211		1	B_NI	auto	に勉強の邪魔をされたが	無視して勉強したこと	{B}に勉強の邪魔をされたが / 無視して勉強したこと	被{B}打扰了学习但无视并继续学习	的事情
212		1	NO_B	auto	椅子に座ったこと		椅子に座ったこと	坐在椅子上的事情	
213		1	B_NI	auto	に文句を言われたので、	たしなめたこと	{B}に文句を言われたので、 / たしなめたこと	被{B}抱怨于是加以责备	的事情
217		1	B_NO	auto	の相手をしたこと		{B}の相手をしたこと	陪{B}的事情	
218		1	B_NO	auto	の相手は出来ない	と拒んだこと	{B}の相手は出来ない / と拒んだこと	以没法陪{B}为由拒绝	的事情
220		1	B_NI	auto	にかまうのを	あきらめたこと	{B}にかまうのを / あきらめたこと	放弃搭理{B}	的事情
222		1	B_WO	auto	を釣りに誘ったこと		{B}を釣りに誘ったこと	约{B}去钓鱼的事情	
226		1	B_TO	auto	と一緒に	テレビを観たこと	{B}と一緒に / テレビを観たこと	和{B}一起看电视	的事情
227		1	B_TO	auto	とテレビを観ているときに	チャンネルを変えたこと	{B}とテレビを観ているときに / チャンネルを変えたこと	和{B}一起看电视时换频道	的事情
229		1	B_TO	auto	とテレビを観ているときに	番組の文句を言ったこと	{B}とテレビを観ているときに / 番組の文句を言ったこと	和{B}一起看电视时抱怨节目	的事情
230		1	B_NO	auto	のチャンネル変更に	文句を言ったこと	{B}のチャンネル変更に / 文句を言ったこと	对{B}换频道的行为抱怨	的事情
231		1	B_NI	auto	にかまわず	黙ってテレビを観たこと	{B}にかまわず / 黙ってテレビを観たこと	不理{B}，默默看电视	的事情
236		1	B_NO	auto	の話に興味を持ったこと		{B}の話に興味を持ったこと	对{B}的话产生兴趣的事情	
237		1	B_TO	auto	と雑談をしたこと		{B}と雑談をしたこと	和{B}闲聊的事情	
247		1	B_NI	auto	に、学校の成績を	尋ねたこと	{B}に、学校の成績を / 尋ねたこと	向{B}询问学校成绩	的事情
248		1	B_NI	auto	に、学校の成績は	かなり良い、と答えたこと	{B}に、学校の成績は / かなり良い、と答えたこと	回答{B}说学校成绩相当好	的事情
249		1	B_NI	auto	に、学校の成績は	まあまあだ、と答えたこと	{B}に、学校の成績は / まあまあだ、と答えたこと	回答{B}说学校成绩还算可以	的事情
250		1	B_NI	auto	に、学校の成績は悪い	と答えたこと	{B}に、学校の成績は悪い / と答えたこと	回答{B}说学校成绩很差	的事情
251		1	B_NI	auto	に、学校の成績は最悪だ	と答えたこと	{B}に、学校の成績は最悪だ / と答えたこと	回答{B}说学校成绩糟糕透顶	的事情
273		1	B_NI_TAISHITE	auto	に対して	ふてくされたこと	{B}に対して / ふてくされたこと	对{B}闹别扭	的事情
278		1	B_NO	auto	の寝言に苦笑いしたこと		{B}の寝言に苦笑いしたこと	对{B}的梦话苦笑的事情	
280		1	B_WO	auto	を、とりあえず	抱きしめたこと	{B}を、とりあえず / 抱きしめたこと	总之先抱住{B}	的事情
281		1	B_NI	auto	に、とりあえず	抱き返したこと	{B}に、とりあえず / 抱き返したこと	总之先回抱{B}	的事情
282		1	B_KARA	auto	から、とりあえず	離れたこと	{B}から、とりあえず / 離れたこと	总之先从{B}身边离开	的事情
295		1	B_TO	auto	と、自滅促進プログラム	について、話をしたこと	{B}と、自滅促進プログラム / について、話をしたこと	和{B}谈论自灭促进计划	的事情
296		1	B_KARA	auto	からお小遣いを貰ったので	礼を言ったこと	{B}からお小遣いを貰ったので / 礼を言ったこと	从{B}那里拿到零花钱后道谢	的事情
297		1	B_NI	auto	に、お小遣いが欲しい	と言ったこと	{B}に、お小遣いが欲しい / と言ったこと	对{B}说想要零花钱	的事情
298		1	B_NI	auto	に、お小遣いを	渡したこと	{B}に、お小遣いを / 渡したこと	把零花钱交给{B}	的事情
299		1	B_NI	auto	に、お小遣いを	上げられなかったこと	{B}に、お小遣いを / 上げられなかったこと	没能给{B}零花钱	的事情
300		1	INTERNAL_AB	manual	からお小遣いを貰えず	$bに文句を言ったこと	{B}からお小遣いを貰えず / $bに文句を言ったこと	没从{B}那里拿到零花钱，于是向{B}抱怨	的事情
301		1	B_TO	auto	と、リツコのΑΤを	心配したこと	{B}と、リツコのΑΤを / 心配したこと	和{B}一起担心律子的AT	的事情
302		1	B_NI	auto	に、リツコなら大丈夫	と伝え、安心させたこと	{B}に、リツコなら大丈夫 / と伝え、安心させたこと	告诉{B}律子的话没问题让{B}放心	的事情
303		1	B_NI_TAISHITE	auto	に対して気まずくなり、	黙ってしまったこと	{B}に対して気まずくなり、 / 黙ってしまったこと	对{B}感到尴尬而沉默	的事情
304		1	B_NI	auto	に、情報収集を	頼んだこと	{B}に、情報収集を / 頼んだこと	拜托{B}收集情报	的事情
305		1	B_KARA_NO	auto	からの情報収集依頼に	了解したこと	{B}からの情報収集依頼に / 了解したこと	对{B}的情报收集委托表示了解	的事情
306		1	B_NO	auto	の情報収集協力に	礼を言ったこと	{B}の情報収集協力に / 礼を言ったこと	感谢{B}协助收集情报	的事情
311		1	B_KARA_NO	auto	からの情報収集依頼を	断ったこと	{B}からの情報収集依頼を / 断ったこと	拒绝{B}的情报收集委托	的事情
313		1	B_NI	auto	に耳打ちしたこと		{B}に耳打ちしたこと	对{B}耳语的事情	
314		1	B_NI	auto	に相づちをうったこと		{B}に相づちをうったこと	对{B}随声附和的事情	
315		1	B_NI	auto	に、心配するな	と言ったこと	{B}に、心配するな / と言ったこと	对{B}说别担心	的事情
319		1	B_TO_NO	auto	との作戦会議で、	質問の有無を確認したこと	{B}との作戦会議で、 / 質問の有無を確認したこと	在和{B}的作战会议上确认是否有问题	的事情
320		1	B_NO	auto	の提示した作戦内容に	対して、意見したこと	{B}の提示した作戦内容に / 対して、意見したこと	对{B}提出的作战内容发表意见	的事情
321		1	B_NO	auto	の作戦内容に	従ったこと	{B}の作戦内容に / 従ったこと	遵从{B}的作战内容	的事情
322		1	B_NO	auto	の作戦内容に対する不満に	異論したこと	{B}の作戦内容に対する不満に / 異論したこと	对{B}对作战内容的不满提出异议	的事情
323		1	B_TO_NO	auto	との作戦会議で	作戦を決定し、使徒に挑んだこと	{B}との作戦会議で / 作戦を決定し、使徒に挑んだこと	在和{B}的作战会议上决定作战方案后迎战使徒	的事情
324		1	B_NO	auto	の異論に対して	言い返したこと	{B}の異論に対して / 言い返したこと	反驳{B}的异议	的事情
325		1	B_NO	auto	の作戦内容に	しぶしぶ従ったこと	{B}の作戦内容に / しぶしぶ従ったこと	勉强遵从{B}的作战内容	的事情
345		1	B_NI	auto	に、食事の相席を	求めたこと	{B}に、食事の相席を / 求めたこと	向{B}请求同桌吃饭	的事情
346		1	B_NI	auto	に、食事の相席を	求められ、了承したこと	{B}に、食事の相席を / 求められ、了承したこと	被{B}请求同桌吃饭后同意了	的事情
347		1	B_NO	auto	の横に座って	食事をしたこと	{B}の横に座って / 食事をしたこと	坐在{B}旁边吃饭	的事情
348		1	B_NI	auto	に、食事の相席を	求められたが、断ったこと	{B}に、食事の相席を / 求められたが、断ったこと	被{B}请求同桌吃饭但拒绝了	的事情
349		1	B_NI	auto	に、食事の相席を	断られて、ヘコんだこと	{B}に、食事の相席を / 断られて、ヘコんだこと	请求和{B}同桌吃饭被拒后受打击	的事情
358		1	B_NI	auto	に、エヴァのパイロットを	辞める、と言ったこと	{B}に、エヴァのパイロットを / 辞める、と言ったこと	对{B}说不再当EVA驾驶员	的事情
359		1	B_NI	auto	に、パイロットを辞める	と言われ、受け入れたこと	{B}に、パイロットを辞める / と言われ、受け入れたこと	听{B}说不再当驾驶员后接受	的事情
360		1	B_NI	auto	に、パイロットを辞める	決意を問いただしたこと	{B}に、パイロットを辞める / 決意を問いただしたこと	追问{B}辞职决意	的事情
362		1	B_NI	auto	に、パイロットを辞める	決意は変わらないと言ったこと	{B}に、パイロットを辞める / 決意は変わらないと言ったこと	对{B}说辞职决心不变	的事情
363		1	B_NI	auto	に、パイロット辞任は	ウソだと言ったこと	{B}に、パイロット辞任は / ウソだと言ったこと	对{B}说辞任驾驶员是骗人	的事情
364		1	B_NI	auto	に、パイロット辞任は	ウソだと言われ、怒ったこと	{B}に、パイロット辞任は / ウソだと言われ、怒ったこと	听{B}说辞任驾驶员是骗人的后生气	的事情
378		1	B_NI	auto	に愚痴ったこと		{B}に愚痴ったこと	对{B}发牢骚的事情	
379		1	B_NO	auto	の愚痴を	黙って聞いたこと	{B}の愚痴を / 黙って聞いたこと	默默听{B}发牢骚	的事情
380		1	B_NO	auto	の愚痴に同意したこと		{B}の愚痴に同意したこと	同意{B}的牢骚的事情	
381		1	B_NO	auto	の愚痴に対して	疑問に思ったこと	{B}の愚痴に対して / 疑問に思ったこと	对{B}的牢骚感到疑惑	的事情
382		1	B_NI	auto	に、愚痴り続けたこと		{B}に、愚痴り続けたこと	对{B}发个不停牢骚的事情	
383		1	INTERNAL_AB	manual	の黙り込んだ様子に触れ	$aも黙ったこと	{B}の黙り込んだ様子に触れ / $aも黙ったこと	{A}看到{B}沉默的样子，自己也沉默了	的事情
386		1	B_NO	auto	の愚痴る様子に呆れ	突き放したこと	{B}の愚痴る様子に呆れ / 突き放したこと	对{B}发牢骚的样子无语后甩开不管	的事情
387		1	B_NO	auto	の続く愚痴を	黙って聞いたこと	{B}の続く愚痴を / 黙って聞いたこと	默默听{B}没完没了发牢骚	的事情
391		1	B_NI	auto	に真実を知りたいか	と聞かれ、はい、と答えたこと	{B}に真実を知りたいか / と聞かれ、はい、と答えたこと	被{B}问是否想知道真相后回答是	的事情
392		1	B_NI	auto	に真実を知りたいか	と聞かれ、いいえ、と答えたこと	{B}に真実を知りたいか / と聞かれ、いいえ、と答えたこと	被{B}问是否想知道真相后回答否	的事情
393		1	B_NI	auto	に本当に真実を知りたいか	と、更に尋ねたこと	{B}に本当に真実を知りたいか / と、更に尋ねたこと	向{B}进一步询问是否真的想知道真相	的事情
394		1	B_NI	auto	に、やっぱり真実は	知らなくていい、と答えたこと	{B}に、やっぱり真実は / 知らなくていい、と答えたこと	回答{B}说果然还是不用知道真相	的事情
395		1	B_NI	auto	に、どうしても	真実を知りたい、と答えたこと	{B}に、どうしても / 真実を知りたい、と答えたこと	回答{B}说无论如何都想知道真相	的事情
396		1	B_NI	auto	に、セントラルドグマへの	潜入方法を教えたこと	{B}に、セントラルドグマへの / 潜入方法を教えたこと	告诉{B}潜入中央教条的方法	的事情
401		1	B_KARA_NO	auto	からの意見書を	受け取ったこと	{B}からの意見書を / 受け取ったこと	接收了{B}的意见书	的事情
402		1	B_NO	auto	の意見書を	破り捨てたこと	{B}の意見書を / 破り捨てたこと	把{B}的意见书撕碎扔掉	的事情
403		1	B_KARA_NO	auto	からの意見書を	拒否したこと	{B}からの意見書を / 拒否したこと	拒绝{B}的意见书	的事情
404		1	B_NI	auto	に、意見書を渡したこと		{B}に、意見書を渡したこと	把意见书交给{B}的事情	
405		1	B_NI	auto	に意見書受理を	拒否され、食い下がったこと	{B}に意見書受理を / 拒否され、食い下がったこと	意见书被{B}拒绝受理后仍不罢休	的事情
406		1	B_NO	auto	の意見書を	仕方なく受理したこと	{B}の意見書を / 仕方なく受理したこと	无奈受理{B}的意见书	的事情
407		1	B_NO	auto	の意見書を	強く拒んだこと	{B}の意見書を / 強く拒んだこと	坚决拒绝{B}的意见书	的事情
411		1	B_NI	auto	に謝ったこと		{B}に謝ったこと	向{B}道歉的事情	
414		1	B_NI	auto	に逆ギレしたこと		{B}に逆ギレしたこと	对{B}恼羞成怒的事情	
417		1	B_NI	auto	に叱られ	黙っていたこと	{B}に叱られ / 黙っていたこと	被{B}训斥后沉默	的事情
476		3	NO_B	auto	意見書を審査したこと		意見書を審査したこと	审查意见书的事情	
479		1	B_WO	auto	をウザく感じて	無視したこと	{B}をウザく感じて / 無視したこと	觉得{B}很烦于是无视了	的事情
480		1	B_NI	auto	に無視されて	ヘコんだこと	{B}に無視されて / ヘコんだこと	被{B}无视后受打击	的事情
481		1	B_NI	auto	に、仕事中なのか	尋ねたこと	{B}に、仕事中なのか / 尋ねたこと	向{B}询问是不是正在工作	的事情
482		1	B_NI	auto	に、仕事中だと	答えたこと	{B}に、仕事中だと / 答えたこと	回答{B}说正在工作	的事情
483		1	B_NI	auto	に、仕事中だから	邪魔だ、と言ったこと	{B}に、仕事中だから / 邪魔だ、と言ったこと	对{B}说正在工作别来打扰	的事情
491		3	B_NI	auto	に、一緒に勉強しよう	と持ちかけたこと	{B}に、一緒に勉強しよう / と持ちかけたこと	向{B}提议一起学习	的事情
492		3	B_TO	auto	と一緒に勉強したこと		{B}と一緒に勉強したこと	和{B}一起学习的事情	
493		3	B_KARA_NO	auto	からの勉強の誘いを	断ったこと	{B}からの勉強の誘いを / 断ったこと	拒绝{B}的学习邀请	的事情
494	491	3	B_NI	auto	に、一緒に勉強しよう	と持ちかけたこと	{B}に、一緒に勉強しよう / と持ちかけたこと	向{B}提议一起学习	的事情
495	492	3	B_TO	auto	と一緒に勉強したこと		{B}と一緒に勉強したこと	和{B}一起学习的事情	
496	493	3	B_KARA_NO	auto	からの勉強の誘いを	断ったこと	{B}からの勉強の誘いを / 断ったこと	拒绝{B}的学习邀请	的事情
497	491	3	B_NI	auto	に、一緒に勉強しよう	と持ちかけたこと	{B}に、一緒に勉強しよう / と持ちかけたこと	向{B}提议一起学习	的事情
498	492	3	B_TO	auto	と一緒に勉強したこと		{B}と一緒に勉強したこと	和{B}一起学习的事情	
499	493	3	B_KARA_NO	auto	からの勉強の誘いを	断ったこと	{B}からの勉強の誘いを / 断ったこと	拒绝{B}的学习邀请	的事情
500		1	B_NI	auto	に、授業の復習をしよう	と持ちかけたこと	{B}に、授業の復習をしよう / と持ちかけたこと	向{B}提议一起复习功课	的事情
501		1	B_TO	auto	と一緒に、	授業の復習をしたこと	{B}と一緒に、 / 授業の復習をしたこと	和{B}一起复习功课	的事情
502		1	B_KARA_NO	auto	からの授業の復習の誘いを	断ったこと	{B}からの授業の復習の誘いを / 断ったこと	拒绝{B}的复习功课邀请	的事情
503		1	B_NI	auto	に、一緒に戦闘訓練を	しよう、と持ちかけたこと	{B}に、一緒に戦闘訓練を / しよう、と持ちかけたこと	向{B}提议一起进行战斗训练	的事情
504		1	B_TO	auto	と一緒に、	戦闘訓練をしたこと	{B}と一緒に、 / 戦闘訓練をしたこと	和{B}一起进行战斗训练	的事情
505		1	B_KARA_NO	auto	からの戦闘訓練の誘いを	断ったこと	{B}からの戦闘訓練の誘いを / 断ったこと	拒绝{B}的战斗训练邀请	的事情
506		1	B_NI	auto	に、調査の協力を	お願いしたこと	{B}に、調査の協力を / お願いしたこと	请求{B}协助调查	的事情
507		1	B_KARA_NO	auto	からの調査協力の依頼を	承諾したこと	{B}からの調査協力の依頼を / 承諾したこと	接受{B}的协助调查委托	的事情
508		1	B_KARA_NO	auto	からの調査協力の依頼を	断ったこと	{B}からの調査協力の依頼を / 断ったこと	拒绝{B}的协助调查请求	的事情
518		1	B_WO	auto	をおだてたこと		{B}をおだてたこと	奉承{B}的事情	
519		1	B_NI	auto	におだてられて	良い気分になったこと	{B}におだてられて / 良い気分になったこと	被{B}奉承后心情变好	的事情
520		1	B_NI	auto	におだてられたが、	いぶかしく感じたこと	{B}におだてられたが、 / いぶかしく感じたこと	被{B}奉承但感到可疑	的事情
559		1	B_NO	auto	の寝姿を	覗き込んだこと	{B}の寝姿を / 覗き込んだこと	偷看{B}睡姿	的事情
577		1	B_TO_NO	auto	との作戦会議で	異論が出たが、強行したこと	{B}との作戦会議で / 異論が出たが、強行したこと	在和{B}的作战会议上虽有异议但仍强行执行	的事情
578		1	NO_B	auto	コンビニのトイレに行ったこと		コンビニのトイレに行ったこと	去便利店上厕所的事情	
580		1	B_NO	auto	の相手を	テキトーにしたこと	{B}の相手を / テキトーにしたこと	随便应付{B}	的事情
583		1	NO_B	auto	テレビを観たこと		テレビを観たこと	看电视的事情	
585		1	NO_B	auto	壁に八つ当たりしたこと		壁に八つ当たりしたこと	对着墙撒气的事情	
588		1	B_NO	auto	の食事にあやかったこと		{B}の食事にあやかったこと	沾{B}的光蹭到饭的事情	
591		1	NO_B	auto	考え事をしたこと		考え事をしたこと	想事情的事情	
593		1	NO_B	auto	寝たこと		寝たこと	睡觉的事情	
595		1	NO_B	auto	お風呂に入ったこと		お風呂に入ったこと	泡澡的事情	
596		2	NO_B	auto	勉強したこと		勉強したこと	学习的事情	
597	596	2	NO_B	auto	勉強したこと		勉強したこと	学习的事情	
598		1	NO_B	auto	家出したこと		家出したこと	离家出走的事情	
600		1	NO_B	auto	他人の様子を心に留めたこと		他人の様子を心に留めたこと	把别人的样子记在心里的事情	
634		1	B_NI	auto	にアイテムを見せたこと		{B}にアイテムを見せたこと	给{B}看道具的事情	
635		1	B_NI	auto	にアイテムを見せられて	困惑したこと	{B}にアイテムを見せられて / 困惑したこと	被{B}展示道具后感到困惑	的事情
637		1	B_NI	auto	に見せたアイテムを	プレゼントすると言ったこと	{B}に見せたアイテムを / プレゼントすると言ったこと	说要把给{B}看的道具当礼物	的事情
638		1	B_NI	auto	に見せたアイテムは	見せただけだと言ったこと	{B}に見せたアイテムは / 見せただけだと言ったこと	说给{B}看的道具只是给看看而已	的事情
641		1	B_KARA_NO	auto	からのプレゼントを	喜んで受け取ったこと	{B}からのプレゼントを / 喜んで受け取ったこと	开心地收下{B}的礼物	的事情
642		2	B_KARA_NO	auto	からのプレゼントを	いらないと断ったこと	{B}からのプレゼントを / いらないと断ったこと	以不需要为由拒绝{B}的礼物	的事情
645		1	B_NI	auto	にプレゼントを渡したくて	食い下がったこと	{B}にプレゼントを渡したくて / 食い下がったこと	想把礼物给{B}而纠缠不休	的事情
650	642	2	B_KARA_NO	auto	からのプレゼントを	いらないと断ったこと	{B}からのプレゼントを / いらないと断ったこと	以不需要为由拒绝{B}的礼物	的事情
651		1	B_KARA_NO	auto	からのプレゼントを	しぶしぶ受け取ったこと	{B}からのプレゼントを / しぶしぶ受け取ったこと	勉为其难收下{B}的礼物	的事情
